YYYYMMDD,Sample,Year,Month,Day,Bakun_Index_ 51N_131W,Bakun_Index_ 48N_125W
19670101,1,1967,01,01,-63,41
19670102,2,1967,01,02,-46,-131
19670103,3,1967,01,03,68,-11
19670104,4,1967,01,04,60,75
19670105,5,1967,01,05,54,18
19670106,6,1967,01,06,-37,-23
19670107,7,1967,01,07,-70,-144
19670108,8,1967,01,08,-243,-66
19670109,9,1967,01,09,-675,-205
19670110,10,1967,01,10,-35,-120
19670111,11,1967,01,11,-44,-28
19670112,12,1967,01,12,24,-90
19670113,13,1967,01,13,-21,-17
19670114,14,1967,01,14,-170,-79
19670115,15,1967,01,15,155,61
19670116,16,1967,01,16,77,75
19670117,17,1967,01,17,-73,1
19670118,18,1967,01,18,-157,-171
19670119,19,1967,01,19,-23,-378
19670120,20,1967,01,20,78,-133
19670121,21,1967,01,21,15,-75
19670122,22,1967,01,22,-21,-112
19670123,23,1967,01,23,-19,-71
19670124,24,1967,01,24,-53,-144
19670125,25,1967,01,25,-24,-146
19670126,26,1967,01,26,-26,-125
19670127,27,1967,01,27,-77,-231
19670128,28,1967,01,28,-27,-116
19670129,29,1967,01,29,15,23
19670130,30,1967,01,30,-81,-7
19670131,31,1967,01,31,-499,-173
19670201,32,1967,02,01,-49,-114
19670202,33,1967,02,02,20,-91
19670203,34,1967,02,03,-123,-89
19670204,35,1967,02,04,33,35
19670205,36,1967,02,05,-88,-6
19670206,37,1967,02,06,5,13
19670207,38,1967,02,07,-135,-34
19670208,39,1967,02,08,8,-9
19670209,40,1967,02,09,-21,15
19670210,41,1967,02,10,-73,25
19670211,42,1967,02,11,24,-8
19670212,43,1967,02,12,39,-15
19670213,44,1967,02,13,66,65
19670214,45,1967,02,14,45,-28
19670215,46,1967,02,15,77,28
19670216,47,1967,02,16,-8,19
19670217,48,1967,02,17,139,36
19670218,49,1967,02,18,52,61
19670219,50,1967,02,19,-67,-28
19670220,51,1967,02,20,39,-19
19670221,52,1967,02,21,-101,-4
19670222,53,1967,02,22,-73,-14
19670223,54,1967,02,23,-416,-202
19670224,55,1967,02,24,-12,-129
19670225,56,1967,02,25,-273,-16
