Year,Adults
1953,3500
1954,7500
1955,7500
1956,35000
1957,3500
1958,7500
1959,750
1960,3500
1961,7500
1962,7500
1963,3500
1964,7500
1965,7500
1966,7500
1967,1500
1968,7500
1969,750
1970,7500
1971,3500
1972,1700
1973,2200
1974,300
1975,150
1976,2000
1977,600
1978,300
1979,20
1980,500
1981,
1982,
1983,
1984,1000
1985,1000
1986,
1987,200
1988,1000
1989,300
1990,
1991,
1992,
1993,
1994,
1995,20
1996,500
1997,526
1998,8501
1999,2887
2000,1206
2001,2175
2002,3307
2003,1162
2004,1156
2005,3347
2006,1840
2007,2780
2008,926
2009,3390
2010,2106
2011,2129
2012,4832
2013,5594
2014,12187
2015,697
2016,1848
