Year,Stock
2015,6600
2014,801476
2013,78943
2012,84500
2011,4530
2010,9308
2009,22308
2008,3175
2007,5189
2006,10926
2005,3134
2004,84200
2003,4771
2002,107697
2001,3838
2000,25529
1999,860
1998,10100
1997,75
1996,15000
1995,350
1994,NA
1993,NA
1992,80000
1991,NA
1990,15000
1989,330
1988,50000
1987,700
1986,100000
1985,32650
1984,25000
1983,15000
1982,30000
1981,NA
1980,35000
1979,200
1978,48000
1977,2100
1976,72000
1975,2500
1974,55000
1973,7000
1972,50000
1971,3500
1970,125000
1969,1500
1968,150000
1967,3500
1966,100000
1965,15000
1964,35000
1963,7500
1962,75000
1961,15000
1960,35000
1959,35000
1958,75000
1957,35000
1956,100000
1955,7500
1954,35000
1953,7500
