brood_year,spawn,s_per_f,age_1,age_2,age_3,age_4,age_5,total_brood_smolts,prop_1,prop_2,prop_3,prop_4,prop_5,no_age_classes,shannon_neg_1,shannon,evenness,mean.age,mean_brood_fresh_age,fert_1_2,year_pink_1,pink_1,pink_1_oe,year_pink_2,pink_2,pink_2_oe,year_fertilization_1,fertilization_1,year_fertilization_2,fertilization_2,precip_1,precip_2,precip_3,precip_4,temp_2,temp_3,temp_4
1972,,,0,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
1973,,,0,,,227,0,227,,,,,,,,,,,,0,,,,,,,,,,,,,,1824.8,,,11.6
1974,,,0,,1207,198,0,1405,,,,,,,,,,,,0,,,,,,,,,,,,,1936.7,1864.7,,11.7,11.7
1975,,,0,909,789,1173,44,2915,0,0.311835334,0.270668954,0.402401372,0.01509434,4,-1.146706799,1.146706799,0.827174106,3.120754717,3.12,0,1975,2500,0,1976,72000,1,1975,0,1976,0,1636.3,1956.3,1853.7,1786.8,11.5,11.5,11.5
1976,617,10.84,0,1117,4892,561,118,6688,0,0.16701555,0.73145933,0.083881579,0.017643541,4,-0.806761392,0.806761392,0.58195533,2.95215311,2.95,0,1976,72000,1,1977,2100,0,1976,0,1977,0,2276.3,1962.4,1837,1790,11.6,11.8,11.8
1977,334,20.7,0,835,3350,2713,16,6914,0,0.120769453,0.484524154,0.392392248,0.002314145,4,-0.987495748,0.987495748,0.712327609,3.276251085,3.28,0,1977,2100,0,1978,48000,1,1977,0,1978,0,1648.4,1617.3,1627.9,1662.5,11.9,12.2,12.2
1978,339,21.36,0,1546,5592,104,0,7242,0,0.21347694,0.772162386,0.014360674,0,3,-0.590243459,0.590243459,0.537262749,2.800883734,2.8,0,1978,48000,1,1979,200,0,1978,0,1979,0,1586.2,1617.7,1667.2,1753.7,12.5,12.4,12.4
1979,161,38.83,0,3474,2376,401,0,6251,0,0.55575108,0.380099184,0.064149736,0,3,-0.870335732,0.870335732,0.792213723,2.508398656,2.51,0,1979,200,0,1980,35000,1,1979,0,1980,0,1649.2,1707.8,1809.5,1805.4,12.5,12.4,12.4
1980,118,51.45,0,1504,3701,866,0,6071,0,0.247735134,0.609619503,0.142645363,0,3,-0.925188134,0.925188134,0.842142532,2.894910229,2.89,0,1980,35000,1,1981,145,0,1980,0,1981,0,1766.3,1889.7,1857.5,1870.9,12.3,12.2,12.2
1981,268,21.36,0,1951,3569,205,0,5725,0,0.340786026,0.623406114,0.03580786,0,3,-0.780676728,0.780676728,0.710602581,2.695021834,2.7,0,1981,145,0,1982,30000,1,1981,0,1982,0,2013,1903.1,1905.7,1915.7,12.1,12.1,12.1
1982,435,18.01,0,5291,2504,39,0,7834,0,0.675389329,0.319632372,0.0049783,0,3,-0.656033093,0.656033093,0.597147055,2.329588971,2.33,1,1982,30000,1,1983,15000,0,1982,0,1983,1,1793.1,1852.1,1883.2,1807.7,12,11.8,11.8
