Year,Numbers,Population
1978,1672.409948,Thompson
1979,1683.143749,Thompson
1980,948.9517118,Thompson
1981,1255.576001,Thompson
1982,1199.955392,Thompson
1983,2884.186461,Thompson
1984,1129.558381,Thompson
1985,3548.455448,Thompson
1986,2349.977696,Thompson
1987,1702.548232,Thompson
1988,1514.274562,Thompson
1989,1693.347831,Thompson
1990,1214.285714,Thompson
1991,1219.917475,Thompson
1992,904.0927847,Thompson
1993,3006.635441,Thompson
1994,2695.940671,Thompson
1995,2619.884019,Thompson
1996,1033.706925,Thompson
1997,3034.180885,Thompson
1998,1488.847998,Thompson
1999,2550.574328,Thompson
2000,1520.436043,Thompson
2001,1847.496376,Thompson
2002,3215.345154,Thompson
2003,1491.357199,Thompson
2004,966.3767146,Thompson
2005,2466.878555,Thompson
2006,1686.76815,Thompson
2007,758.7264414,Thompson
2008,1187.82759,Thompson
2009,718.969555,Thompson
2010,612.384298,Thompson
2011,536.3555258,Thompson
2012,1026.597524,Thompson
2013,1103.657857,Thompson
2014,1328.649493,Thompson
2015,875.12546,Thompson
2016,385.8313817,Thompson
2017,279.1624847,Thompson
2018,162.317386,Thompson
1972,959.4594595,Chilcotin
1973,1436.936937,Chilcotin
1974,680.1801802,Chilcotin
1975,585.5855856,Chilcotin
1976,1018.018018,Chilcotin
1977,500,Chilcotin
1978,1153.153153,Chilcotin
1979,720.7207207,Chilcotin
1980,896.3963964,Chilcotin
1981,599.0990991,Chilcotin
1982,941.4414414,Chilcotin
1983,1527.027027,Chilcotin
1984,1130.630631,Chilcotin
1985,3139.63964,Chilcotin
1986,1995.495495,Chilcotin
1987,2324.324324,Chilcotin
1988,2342.342342,Chilcotin
1989,617.1171171,Chilcotin
1990,409.9099099,Chilcotin
1991,472.972973,Chilcotin
1992,545.045045,Chilcotin
1993,1545.045045,Chilcotin
1994,927.9279279,Chilcotin
1995,837.8378378,Chilcotin
1996,522.5225225,Chilcotin
1997,1378.378378,Chilcotin
1998,671.1711712,Chilcotin
1999,747.7477477,Chilcotin
2000,743.2432432,Chilcotin
2001,1256.756757,Chilcotin
2002,1121.621622,Chilcotin
2003,923.4234234,Chilcotin
2004,265.7657658,Chilcotin
2005,391.8918919,Chilcotin
2006,563.0630631,Chilcotin
2007,378.3783784,Chilcotin
2008,162.1621622,Chilcotin
2009,360.3603604,Chilcotin
2010,144.1441441,Chilcotin
2011,382.8828829,Chilcotin
2012,310.8108108,Chilcotin
2013,382.8828829,Chilcotin
2014,954.954955,Chilcotin
2015,423.4234234,Chilcotin
2016,139.6396396,Chilcotin
2017,184.6846847,Chilcotin
2018,54.05405405,Chilcotin
