year,npgo,mei,pink,chum,sockeye,total,shannon_neg_1,shannon,evenness,fert,pink_1_oe,pink_2_oe,precip_1,precip_2,precip_3,precip_4,temp_2,temp_3,temp_4
1950,-0.766430557,-1.09325,256.8,1666.5,345.6,2268.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,-0.961180174,0.016416667,678,1802.8,284.3,2765.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,-0.6394242,-0.060583333,478.6008046,1252.291263,340.617093,2071.509161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,1.082280947,0.330583333,807.7671907,1177.453757,293.479472,2278.70042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,0.20706549,-0.921166667,428.5486699,1608.136846,355.7668891,2392.452405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,-0.074898058,-1.60825,706.3989216,1636.270359,251.7171124,2594.386393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,0.069951982,-1.2745,599.0165317,1838.547484,393.6561563,2831.220172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,-1.147306954,0.62075,830.7429357,1334.351547,284.509111,2449.603594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,-0.547807002,0.783583333,451.2221655,1371.364662,436.075366,2258.662193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,-0.203461008,0.1335,551.6999698,1323.616637,552.1471734,2427.46378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,0.747739953,-0.2765,306.1663058,1351.57077,423.2096553,2080.946731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,0.970684513,-0.274666667,479.7610097,1160.941174,364.6450071,2005.347191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,-0.093424126,-0.754333333,400.5571617,1222.227795,325.1946706,1947.979627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,-0.234721502,0.046333333,537.0234557,1119.248186,342.4941569,1998.765799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,0.544102425,-0.77825,339.1447846,1259.523074,498.6804802,2097.348339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,-0.837212701,0.692833333,475.5212264,1064.079091,390.6387542,1930.239071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,-0.956356193,0.254916667,388.2108501,1236.754948,355.9902846,1980.956083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,-0.699724801,-0.589583333,420.8888294,1036.776608,356.4950646,1814.160502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,-0.850601763,-0.317416667,376.7878092,969.3062728,476.6124365,1822.706518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,-0.387628509,0.5445,546.0550952,655.0165312,461.7106409,1662.782267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,0.061043154,-0.529,306.2002406,1127.715507,450.322857,1884.238605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,0.381984271,-1.39675,444.7422065,940.2686891,461.3032067,1846.314102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,-0.659303726,0.857166667,256.4168486,1191.82548,250.4300068,1698.672335,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,0.126585564,-0.445833333,318.1299105,1230.712023,362.4795065,1911.32144,NA,NA,NA,0,NA,NA,NA,NA,NA,1824.8,NA,NA,11.6
1974,-0.009310217,-1.166083333,278.7843313,1112.080647,419.46257,1810.327548,NA,NA,NA,0,NA,NA,NA,NA,1936.7,1864.7,NA,11.7,11.7
1975,0.798500537,-1.283666667,472.2981091,1065.258494,309.4782011,1847.034804,-1.146706799,1.146706799,0.827174106,0,0,1,1636.3,1956.3,1853.7,1786.8,11.5,11.5,11.5
1976,1.86321135,-0.101833333,418.5430317,1224.192628,364.0703219,2006.805981,-0.806761392,0.806761392,0.58195533,0,1,0,2276.3,1962.4,1837,1790,11.6,11.8,11.8
1977,1.249270341,0.619333333,570.0821565,1178.099526,508.7978556,2256.979538,-0.987495748,0.987495748,0.712327609,0,0,1,1648.4,1617.3,1627.9,1662.5,11.9,12.2,12.2
1978,0.504466636,0.117583333,464.4638371,1262.756018,688.8128506,2416.032706,-0.590243459,0.590243459,0.537262749,0,1,0,1586.2,1617.7,1667.2,1753.7,12.5,12.4,12.4
1979,-0.737188575,0.523416667,641.386268,1239.554247,799.508544,2680.449059,-0.870335732,0.870335732,0.792213723,0,0,1,1649.2,1707.8,1809.5,1805.4,12.5,12.4,12.4
1980,-0.749107276,0.556416667,495.1791152,1366.488673,702.2572326,2563.925021,-0.925188134,0.925188134,0.842142532,0,1,0,1766.3,1889.7,1857.5,1870.9,12.3,12.2,12.2
1981,-0.221840562,0.075916667,638.1045615,1553.718706,671.4098699,2863.233137,-0.780676728,0.780676728,0.710602581,0,0,1,2013,1903.1,1905.7,1915.7,12.1,12.1,12.1
1982,-0.686691381,1.094833333,454.1798775,1527.586923,814.0809297,2795.84773,-0.656033093,0.656033093,0.597147055,0,1,0,1793.1,1852.1,1883.2,1807.7,12,11.8,11.8
