year,npgo,mei
1950,-0.766430557,-1.09325
1951,-0.961180174,0.016416667
1952,-0.6394242,-0.060583333
1953,1.082280947,0.330583333
1954,0.20706549,-0.921166667
1955,-0.074898058,-1.60825
1956,0.069951982,-1.2745
1957,-1.147306954,0.62075
1958,-0.547807002,0.783583333
1959,-0.203461008,0.1335
1960,0.747739953,-0.2765
1961,0.970684513,-0.274666667
1962,-0.093424126,-0.754333333
1963,-0.234721502,0.046333333
1964,0.544102425,-0.77825
1965,-0.837212701,0.692833333
1966,-0.956356193,0.254916667
1967,-0.699724801,-0.589583333
1968,-0.850601763,-0.317416667
1969,-0.387628509,0.5445
1970,0.061043154,-0.529
1971,0.381984271,-1.39675
1972,-0.659303726,0.857166667
1973,0.126585564,-0.445833333
1974,-0.009310217,-1.166083333
1975,0.798500537,-1.283666667
1976,1.86321135,-0.101833333
1977,1.249270341,0.619333333
1978,0.504466636,0.117583333
1979,-0.737188575,0.523416667
1980,-0.749107276,0.556416667
1981,-0.221840562,0.075916667
1982,-0.686691381,1.094833333
1983,-0.092064694,1.60925
1984,0.620750037,-0.116916667
1985,-0.393901047,-0.38775
1986,-0.732847288,0.447666667
1987,0.429174729,1.66675
1988,1.323636763,-0.474166667
1989,0.612240617,-0.5235
1990,-0.201546121,0.422083333
1991,-0.498914711,0.800416667
1992,-1.09491887,1.305
1993,-1.901992588,1.114166667
1994,-1.211598783,0.75525
1995,-1.039208546,0.226166667
1996,-0.972836612,-0.297166667
1997,-0.657690616,1.556166667
1998,0.544553283,0.9015
1999,1.515780517,-0.8545
2000,1.885861292,-0.4775
2001,2.080693375,-0.11125
2002,1.47359396,0.649083333
2003,0.958507189,0.50925
2004,0.209460249,0.46975
2005,-1.38061641,0.36275
2006,-0.553872743,0.341833333
2007,0.59326066,-0.297083333
2008,1.454986408,-0.64
2009,0.736277515,0.39625
2010,1.370142293,-0.34275
2011,0.857256779,-0.892583333
2012,1.476880791,0.170166667
2013,0.343828793,-0.075083333
2014,-0.249174042,0.5
2015,-1.394540915,1.6255
2016,-0.18571019,0.913083333
2017,-0.86259431,0.134916667
2018,-1.975739383,0.048090909
