"Year","Adults","Smolts"
1969,NA,6
1970,NA,43.8983050847458
1971,NA,73.1398305084746
1972,NA,85.3097480046632
1973,NA,767.837301587302
1974,NA,2730.55760441292
1975,NA,1473.17888100867
1976,617,7659.252842813
1977,334,21036.9815687775
1978,339,13612.5569186203
1979,161,5612.97287531155
1980,118,14418.4015276917
1981,268,4515.11746424952
1982,435,8667.60346744257
1983,1043,8588.63103811607
1984,677,9698.99217743808
1985,283,8084.92729428306
1986,646,7126.62334789419
1987,1151,5407.8013150473
1988,850,2394.20764215078
1989,542,3715.08291354663
1990,708,7835.36408097444
1991,99,1291.33606244258
1992,296,1163.35912176957
1993,105,1059.73893864778
1994,83,1711.95437682981
1995,149,840.254257690748
1996,45,2012.39450726707
1997,20,781.681216894915
1998,15,2370.69048093199
1999,38,1529.56771734256
2000,88,2476.77365144296
2001,70,3413.50392832474
2002,65,3253.05455780268
2003,90,2403.48922652324
2004,55,1885.56307220954
2005,27,1532.8842364532
2006,75,1795.38279480818
2007,65,2115.2526397122
2008,22,1767.79099259804
2009,19,2706.85719907636
2010,25,3128.72525347481
2011,31,2064.59509505836
2012,90,1849.09723502304
2013,99,2049.3539092254
2014,105,726.403982764644
2015,97,142.602888086643
2016,83,6.25451263537906
2017,26,NA
2018,NA,NA
