"Year","npgo","mei","pink","chum","sockeye","total","shannon_neg_1","shannon","evenness","fert","pink_1_oe","pink_2_oe","seal_density","seal_abundance","mean_temp","min_mean_temp","max_mean_temp","total_rain","max_temp","win_mean_temp","win_min_mean_temp","win_max_mean_temp","win_rain","win_heat","bakun","Logging","cumul_log","cumul_footprint","time","Stock","Recruits","juvCohort","Species","sumTemp","sumRain","winTemp","winRain","freshCoho","freshSteel","freshCutt","freshDolly","freshPink","seals","oceanSalmon"
1953,NA,NA,807.7671907,1177.453757,293.479472,2278.70042,NA,NA,NA,NA,NA,NA,NA,NA,12.3219512195122,6.4,16.4,261.7,15.7252032520325,3.825,-7,11.1,1078.4,6.12166666666667,NA,4500,29600,202800,1,NA,NA,NA,"Steelhead",11.604691236934,222.644219988099,3.30789125577523,765.753023583576,NA,NA,NA,NA,71609.0857840834,NA,NA
1954,1.082280947,0.330583333,428.5486699,1608.136846,355.7668891,2392.452405,NA,NA,NA,NA,NA,NA,NA,NA,11.6715447154472,5.8,15,216.3,14.930081300813,4.895,-3.9,11.1,916,6.97166666666667,NA,0,29600,202800,1,NA,NA,NA,"Steelhead",11.9294367889935,231.338969588775,2.85466633043512,729.646463403176,NA,NA,NA,NA,99456.9670205769,NA,2278.70042
1955,0.656105105789466,-0.278941561662921,706.3989216,1636.270359,251.7171124,2594.386393,NA,NA,NA,NA,NA,NA,NA,NA,11.1138211382114,4.8,19.5,254.6,14.6032520325203,1.7801652892562,-5.8,9.8,562.1,3.9595041322314,NA,0,29600,202800,1,NA,NA,NA,"Steelhead",12.7610583415897,238.618863415704,4.11690967178641,829.805647530458,NA,NA,NA,NA,137778.915719252,NA,2334.09060707795
1956,0.527749858209633,-0.510840519492373,599.0165317,1838.547484,393.6561563,2831.220172,NA,NA,NA,NA,NA,NA,NA,NA,12.3983739837398,5.8,17,149.7,16.5674796747967,2.64916666666667,-7.3,10,851.1,5.215,NA,0,29600,202800,1,NA,NA,NA,"Steelhead",13.1483893532067,268.66695637195,4.82089914679842,799.550303485859,NA,NA,NA,NA,100987.252967522,NA,2378.91516453202
1957,0.521766004507039,-0.521192259636442,830.7429357,1334.351547,284.509111,2449.603594,NA,NA,NA,NA,NA,NA,NA,NA,12.530081300813,7.8,16.1,364.8,15.9837398373984,5.66833333333333,1.1,10.3,855.7,7.93083333333333,NA,0,29600,202800,1,NA,NA,NA,"Steelhead",13.1077703654984,239.332162297598,4.3579930299467,790.774062764258,NA,NA,NA,NA,102275.235679163,NA,2383.12181067614
1958,0.514871160263704,-0.521880205315303,451.2221655,1371.364662,436.075366,2258.662193,NA,NA,NA,NA,NA,NA,NA,NA,14.1585365853659,7,19.5,166.1,18.4365853658537,4.10083333333333,-4.8,11.4,722.4,6.5,NA,0,16100,202800,1,NA,NA,NA,"Steelhead",12.3775973622369,293.835559522691,4.52164923275446,830.136188104858,NA,NA,NA,NA,64656.0493595164,NA,2384.88128216682
1959,0.514794417279084,-0.521856912739087,551.6999698,1323.616637,552.1471734,2427.46378,NA,NA,NA,NA,NA,NA,NA,NA,12.5235772357724,5.9,18.6,255.5,16.1414634146341,4.41570247933884,-1.4,10.8,828.8,6.66776859504132,NA,0,16100,202800,1,NA,NA,NA,"Steelhead",12.3595144969772,291.805847662,4.54751578683489,851.094607723386,NA,NA,NA,NA,67340.0513639638,NA,2384.8921521726
1960,0.0546749949955181,-1.23765303007627,306.1663058,1351.57077,423.2096553,2080.946731,NA,NA,NA,NA,NA,NA,NA,NA,11.939837398374,5.6,19.7,381.7,15.5105691056911,4.89083333333333,1.1,10,877.9,7.47583333333333,NA,0,16100,202800,1,NA,NA,NA,"Steelhead",12.4160440657587,258.531715681669,4.4652410379883,915.747138964578,NA,NA,NA,NA,74791.3652165743,NA,2549.51049478528
1961,-0.207335426822151,-1.06017878550669,479.7610097,1160.941174,364.6450071,2005.347191,NA,NA,NA,NA,NA,NA,NA,NA,13.0772357723577,6.7,19.2,188.4,17.1536585365854,3.86,-2,9.5,690,6.315,NA,0,16100,202800,1,NA,NA,NA,"Steelhead",11.9850285045555,306.596771900153,4.38321085736716,990.399912305428,NA,NA,NA,NA,80998.1364903379,NA,2660.49935318367
1962,-0.525825664890098,-0.141689501073607,400.5571617,1222.227795,325.1946706,1947.979627,NA,NA,NA,NA,NA,NA,NA,NA,11.760162601626,5,17.8,306,15.2333333333333,5.30416666666667,-3.4,12,1123.4,7.89166666666667,NA,3800,19900,206600,1,NA,NA,NA,"Steelhead",11.9659754938994,280.845073131009,3.53314154228817,841.449395847036,NA,NA,NA,NA,43015.2557236368,NA,2573.01660483352
1963,-0.718827990464283,0.590303969372335,537.0234557,1119.248186,342.4941569,1998.765799,NA,NA,NA,NA,NA,NA,NA,NA,12.4162601626016,5,17.3,312,16.3024390243902,4.28677685950413,-0.9,9.2,1026.4,6.89338842975207,NA,0,8300,206600,1,NA,NA,NA,"Steelhead",11.7305807193654,235.145012684393,3.46241858168524,793.558539572176,NA,NA,NA,NA,76225.847975195,NA,2364.27672637444
1964,-0.169259642705609,0.324678264598421,339.1447846,1259.523074,498.6804802,2097.348339,NA,NA,NA,NA,NA,NA,NA,NA,11.5943089430894,3.6,15.6,319.1,15.1008130081301,2.48583333333333,-7.5,8.3,609.4,4.98583333333333,NA,0,8300,206600,1,NA,NA,NA,"Steelhead",12.0266125119581,209.454747408312,4.20325108850327,935.563397225093,NA,0.0414356854270412,NA,NA,97787.2310438786,NA,2292.21867497138
1965,0.382080375653423,-0.110607348138127,475.5212264,1064.079091,390.6387542,1930.239071,NA,NA,NA,NA,NA,NA,NA,NA,11.730081300813,4.5,17.3,123,15.9252032520325,3.92916666666667,-3.4,10.3,902.8,6.43166666666667,NA,3400,11700,210000,1,NA,NA,NA,"Steelhead",12.3978895985427,262.749497008989,3.94921003488543,917.012991324501,NA,0.719205111340787,NA,NA,138451.000657709,NA,2209.51643688894
1966,0.68128120245548,-0.356585125574527,388.2108501,1236.754948,355.9902846,1980.956083,NA,NA,NA,NA,NA,NA,NA,NA,11.8918699186992,5.6,17,284.5,15.5991869918699,4.6525,-0.3,9.2,962,6.98416666666667,NA,0,11700,210000,1,NA,NA,NA,"Steelhead",12.5981416185862,247.030021610448,3.37076143528078,814.235783457045,NA,5.41163205863009,NA,NA,125283.272260328,NA,2026.85833377635
1967,0.326113964224374,-0.413780834638519,420.8888294,1036.776608,356.4950646,1814.160502,NA,NA,NA,NA,NA,NA,NA,NA,12.9861788617886,6.1,18.1,239.7,17.1959349593496,4.16694214876033,-3.9,10.6,987.1,7.0495867768595,-18.1178082191781,7200,18900,217200,1,NA,NA,NA,"Steelhead",12.2628573178243,241.252225249773,3.33354468512567,705.083710733189,NA,17.486282063328,0.0532744526919102,NA,169341.319803314,NA,1981.90723694462
