"","Year","Spawner abundance (mark-recap)","Smolt abundance (fence count)","Smolt fork length (mm)","Smolt FL sd","Age 1","Age 2","Age 3","Age 4","Age 5"
"6",1975,NA,14,151.142857142857,15.9222009633242,NA,NA,NA,NA,NA
"7",1976,617,1001,158.453546453546,19.631151008285,NA,NA,1,1,NA
"8",1977,334,2262,174.393094289509,31.3961158499809,NA,NA,NA,NA,NA
"9",1978,339,1666,161.835109366237,21.9614436415333,1,13,15,17,NA
"10",1979,161,6359,180.336226941559,24.8594178300115,NA,14,128,11,1
"11",1980,118,9288,171.763007219318,19.1533207807543,NA,332,64,9,NA
"12",1981,268,13144,188.636589257224,32.3554368258962,51,246,100,795,29
"13",1982,435,7871,179.21349862259,23.7689046501619,NA,NA,NA,NA,NA
"14",1983,1043,10377,169.602579132474,33.7046386693431,13,139,1061,18,NA
"15",1984,677,6792,174.483594864479,23.3119325129611,NA,6,3,NA,NA
"16",1985,283,6618,174.412076271186,19.9108160557215,NA,NA,NA,NA,NA
"17",1986,646,7317,159.11768707483,20.6782976728438,6,202,71,5,NA
"18",1987,1151,12154,171.983922829582,28.6977653814327,29,113,54,7,NA
"19",1988,850,2932,161.339155749636,22.4602654236624,1,176,32,2,NA
"20",1989,542,5411,180.926459438969,28.3148066404786,6,94,52,8,NA
"21",1990,708,3133,166.283082077052,20.9562190258315,NA,394,379,NA,NA
"22",1991,99,4266,185.566042927903,21.5241012701889,NA,NA,NA,NA,NA
"23",1992,296,5580,152.510107015458,27.1757048496519,5,130,73,15,3
"24",1993,105,4589,175.290627687016,24.5052905847953,NA,21,125,48,NA
"25",1994,83,683,163.457142857143,22.7233230660112,NA,75,34,3,NA
"26",1995,149,603,183.25,29.3008442486596,NA,12,58,28,5
"27",1996,45,1185,169.643459915612,23.4467028531612,NA,48,56,9,NA
"28",1997,20,973,178.90450928382,20.8559243543917,NA,8,95,19,1
"29",1998,15,752,171.478915662651,23.8667532480465,NA,78,38,5,1
"30",1999,38,2073,192.320833333333,29.3554486009138,NA,173,528,177,NA
"31",2000,88,1841,168.878787878788,22.1674126763275,NA,64,12,3,NA
"32",2001,70,1807,178.92118226601,31.4444092028642,24,145,69,NA,NA
"33",2002,65,1508,170.864059590317,18.7631086689231,10,97,22,NA,NA
"34",2003,90,4193,179.596516690856,30.2575627592176,39,122,30,NA,NA
"35",2004,55,417,168.495495495496,17.8341795879719,10,177,44,NA,NA
"36",2005,27,3484,190.079452054795,34.026682156802,1,86,100,6,NA
"37",2006,75,1774,175.735436893204,23.8900646474587,13,163,52,3,NA
"38",2007,65,758,184.521008403361,27.7133758743744,4,188,161,52,NA
"39",2008,22,1157,173.125,17.976800447541,NA,NA,NA,NA,NA
"40",2009,19,1291,175.617886178862,23.8945328674657,NA,NA,NA,NA,NA
"41",2010,25,1508,184.795823665893,29.2048113463088,3,16,71,25,NA
"42",2011,31,1286,187.887362637363,32.6424144752992,1,31,103,44,2
"43",2012,90,2565,179.686186186186,26.6608725416306,1,42,120,29,1
"44",2013,99,1978,186.360861759425,25.7228052522932,NA,40,90,26,NA
"45",2014,105,1578,179.932551319648,22.3925646828013,NA,NA,NA,NA,NA
"46",2015,97,1943,177.628917378917,30.8337882670679,9,83,59,7,2
"47",2016,83,893,181.762597984322,24.5966946714107,NA,21,145,98,15
"48",2017,26,693,174.070707070707,30.0657164462147,5,114,394,41,NA
"49",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA
